Subject Activity variable value
1 Walking MeanBodyAccelerationMagnitude 0.277330758736842
1 WalkingUpstairs MeanBodyAccelerationMagnitude 0.255461689622641
1 WalkingDownstairs MeanBodyAccelerationMagnitude 0.289188320408163
1 Sitting MeanBodyAccelerationMagnitude 0.261237565425532
1 Standing MeanBodyAccelerationMagnitude 0.278917629056604
1 Laying MeanBodyAccelerationMagnitude 0.22159824394
2 Walking MeanBodyAccelerationMagnitude 0.276426586440678
2 WalkingUpstairs MeanBodyAccelerationMagnitude 0.247164790395833
2 WalkingDownstairs MeanBodyAccelerationMagnitude 0.27761534806383
2 Sitting MeanBodyAccelerationMagnitude 0.27708735173913
2 Standing MeanBodyAccelerationMagnitude 0.277911472222222
2 Laying MeanBodyAccelerationMagnitude 0.281373403958333
3 Walking MeanBodyAccelerationMagnitude 0.275567462068966
3 WalkingUpstairs MeanBodyAccelerationMagnitude 0.260819873067797
3 WalkingDownstairs MeanBodyAccelerationMagnitude 0.292423484693878
3 Sitting MeanBodyAccelerationMagnitude 0.257197599134615
3 Standing MeanBodyAccelerationMagnitude 0.280046513278689
3 Laying MeanBodyAccelerationMagnitude 0.275516852741935
4 Walking MeanBodyAccelerationMagnitude 0.278582015166667
4 WalkingUpstairs MeanBodyAccelerationMagnitude 0.270876696730769
4 WalkingDownstairs MeanBodyAccelerationMagnitude 0.279965329555556
4 Sitting MeanBodyAccelerationMagnitude 0.27153827992
4 Standing MeanBodyAccelerationMagnitude 0.280499745892857
4 Laying MeanBodyAccelerationMagnitude 0.263559214981481
5 Walking MeanBodyAccelerationMagnitude 0.27784234625
5 WalkingUpstairs MeanBodyAccelerationMagnitude 0.268459469914894
5 WalkingDownstairs MeanBodyAccelerationMagnitude 0.29354392712766
5 Sitting MeanBodyAccelerationMagnitude 0.273694139545455
5 Standing MeanBodyAccelerationMagnitude 0.282544390892857
5 Laying MeanBodyAccelerationMagnitude 0.278334325576923
6 Walking MeanBodyAccelerationMagnitude 0.283658868070175
6 WalkingUpstairs MeanBodyAccelerationMagnitude 0.268229355098039
6 WalkingDownstairs MeanBodyAccelerationMagnitude 0.277045258145833
6 Sitting MeanBodyAccelerationMagnitude 0.276778487454545
6 Standing MeanBodyAccelerationMagnitude 0.280346248596491
6 Laying MeanBodyAccelerationMagnitude 0.248656520140351
7 Walking MeanBodyAccelerationMagnitude 0.275592961754386
7 WalkingUpstairs MeanBodyAccelerationMagnitude 0.248706923078431
